step,queue_length,total_arrivals,total_served,total_dropout,avg_waiting_time,avg_system_time,service_level,dropout_rate,utilization,current_arrival_prob
0,0,1,0,0,0.0,0.0,0.0,0.0,0.5,0.35
1,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.35
2,0,2,0,0,0.0,0.0,0.0,0.0,1.0,0.35
3,1,3,0,0,0.0,0.0,0.0,0.0,1.0,0.35
4,2,4,0,0,0.0,0.0,0.0,0.0,1.0,0.35
5,2,4,0,0,0.0,0.0,0.0,0.0,1.0,0.35
6,3,5,0,0,0.0,0.0,0.0,0.0,1.0,0.35
7,4,6,0,0,0.0,0.0,0.0,0.0,1.0,0.35
8,4,6,0,0,0.0,0.0,0.0,0.0,1.0,0.35
9,4,6,0,0,0.0,0.0,0.0,0.0,1.0,0.35
10,4,6,0,0,0.0,0.0,0.0,0.0,1.0,0.35
11,4,6,0,0,0.0,0.0,0.0,0.0,1.0,0.35
12,4,6,0,0,0.0,0.0,0.0,0.0,1.0,0.35
13,5,7,0,0,0.0,0.0,0.0,0.0,1.0,0.35
14,4,7,1,0,0.0,12.0,0.14285714285714285,0.0,1.0,0.35
15,4,7,1,0,0.0,12.0,0.14285714285714285,0.0,1.0,0.35
16,5,8,1,0,0.0,12.0,0.125,0.0,1.0,0.35
17,5,8,1,0,0.0,12.0,0.125,0.0,1.0,0.35
18,6,9,1,0,0.0,12.0,0.1111111111111111,0.0,1.0,0.35
19,6,9,1,0,0.0,12.0,0.1111111111111111,0.0,1.0,0.35
20,5,9,2,0,0.0,16.0,0.2222222222222222,0.0,1.0,0.35
21,5,9,2,0,0.0,16.0,0.2222222222222222,0.0,1.0,0.35
22,7,11,2,0,0.0,16.0,0.18181818181818182,0.0,1.0,0.35
23,8,12,2,0,0.0,16.0,0.16666666666666666,0.0,1.0,0.35
24,9,13,2,0,0.0,16.0,0.15384615384615385,0.0,1.0,0.35
25,9,13,2,0,0.0,16.0,0.15384615384615385,0.0,1.0,0.35
26,9,13,2,0,0.0,16.0,0.15384615384615385,0.0,1.0,0.35
27,9,13,2,0,0.0,16.0,0.15384615384615385,0.0,1.0,0.35
28,8,13,2,1,0.0,16.0,0.15384615384615385,0.07692307692307693,1.0,0.35
29,8,13,2,1,0.0,16.0,0.15384615384615385,0.07692307692307693,1.0,0.35
30,8,14,3,1,4.0,19.666666666666668,0.21428571428571427,0.07142857142857142,1.0,0.35
31,8,14,3,1,4.0,19.666666666666668,0.21428571428571427,0.07142857142857142,1.0,0.35
32,9,15,3,1,4.0,19.666666666666668,0.2,0.06666666666666667,1.0,0.35
33,9,15,3,1,4.0,19.666666666666668,0.2,0.06666666666666667,1.0,0.35
34,10,16,3,1,4.0,19.666666666666668,0.1875,0.0625,1.0,0.35
35,9,16,3,2,4.0,19.666666666666668,0.1875,0.125,1.0,0.35
36,8,16,4,2,7.25,22.75,0.25,0.125,1.0,0.35
37,8,16,4,2,7.25,22.75,0.25,0.125,1.0,0.35
38,8,16,4,2,7.25,22.75,0.25,0.125,1.0,0.35
39,9,17,4,2,7.25,22.75,0.23529411764705882,0.11764705882352941,1.0,0.35
40,9,17,4,2,7.25,22.75,0.23529411764705882,0.11764705882352941,1.0,0.35
41,9,17,4,2,7.25,22.75,0.23529411764705882,0.11764705882352941,1.0,0.35
42,10,18,4,2,7.25,22.75,0.2222222222222222,0.1111111111111111,1.0,0.35
43,11,19,4,2,7.25,22.75,0.21052631578947367,0.10526315789473684,1.0,0.35
44,10,19,5,2,10.6,25.6,0.2631578947368421,0.10526315789473684,1.0,0.35
45,10,19,5,2,10.6,25.6,0.2631578947368421,0.10526315789473684,1.0,0.35
46,11,20,5,2,10.6,25.6,0.25,0.1,1.0,0.35
47,11,20,5,2,10.6,25.6,0.25,0.1,1.0,0.35
48,11,20,5,2,10.6,25.6,0.25,0.1,1.0,0.35
49,11,20,5,2,10.6,25.6,0.25,0.1,1.0,0.35
50,10,20,5,3,10.6,25.6,0.25,0.15,1.0,0.35
51,10,20,5,3,10.6,25.6,0.25,0.15,1.0,0.35
52,10,20,5,3,10.6,25.6,0.25,0.15,1.0,0.35
53,12,22,5,3,10.6,25.6,0.22727272727272727,0.13636363636363635,1.0,0.35
